MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MoSold,SaleType,SaleCondition,SalePrice,area_cluster,area_rooms
60,3,65.0,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,0,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,1,0,1,4,856,854,0,1710,1,2,1,3,1,2,8,5,0,5,1,1,548,4,4,2,0,61,0,0,0,0,4,2,8,4,208500,0,18810
20,3,80.0,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,0,8,8,2,0.0,3,4,1,2,3,1,0,978,5,0,284,1,0,1,4,1262,0,0,1262,0,2,0,3,1,3,6,5,1,4,1,1,460,4,4,2,298,0,0,0,0,0,4,5,8,4,181500,1,10096
60,3,68.0,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,0,12,13,1,162.0,2,4,2,2,3,2,2,486,5,0,434,1,0,1,4,920,866,0,1786,1,2,1,3,1,2,6,5,1,4,1,1,608,4,4,2,0,42,0,0,0,0,4,9,8,4,223500,0,16074
70,3,60.0,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,0,13,15,2,0.0,3,4,0,3,1,3,0,216,5,0,540,1,2,1,4,961,756,0,1717,1,1,0,3,1,2,7,5,1,2,5,2,642,4,4,2,0,35,272,0,0,0,4,2,8,0,140000,0,13736
60,3,84.0,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,0,12,13,1,350.0,2,4,2,2,3,0,2,655,5,0,490,1,0,1,4,1145,1053,0,2198,1,2,1,4,1,2,9,5,1,4,1,1,836,4,4,2,192,84,0,0,0,0,4,12,8,4,250000,3,26376
50,3,85.0,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,0,12,13,2,0.0,3,4,5,2,3,3,2,732,5,0,64,1,0,1,4,796,566,0,1362,1,1,1,1,1,3,5,5,0,5,1,2,480,4,4,2,40,30,0,320,0,0,2,10,8,4,143000,2,9534
20,3,75.0,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,0,12,13,3,186.0,2,4,2,0,3,0,2,1369,5,0,317,1,0,1,4,1694,0,0,1694,1,2,0,3,1,2,7,5,1,2,1,1,636,4,4,2,255,57,0,0,0,0,4,8,8,4,307000,0,15246
60,3,68.42606284658041,10382,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,0,6,6,3,240.0,3,4,1,2,3,2,0,859,1,32,216,1,0,1,4,1107,983,0,2090,1,2,1,3,1,3,7,5,2,4,1,1,484,4,4,2,235,204,228,0,0,0,4,11,8,4,200000,3,20900
50,4,51.0,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,0,3,15,2,0.0,3,4,0,3,3,3,5,0,5,0,952,1,2,1,1,1022,752,0,1774,0,2,0,2,2,3,8,2,2,4,5,2,468,1,4,2,90,0,205,0,0,0,4,4,8,0,129900,0,17740
190,3,50.0,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,0,8,8,2,0.0,3,4,0,3,3,3,2,851,5,0,140,1,0,1,4,1077,0,0,1077,1,1,0,2,2,3,5,5,2,4,1,1,205,2,4,2,0,4,0,0,0,0,4,1,8,4,118000,1,6462
20,3,70.0,11200,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,0,6,6,2,0.0,3,4,1,3,3,3,4,906,5,0,134,1,0,1,4,1040,0,0,1040,1,1,0,3,1,3,5,5,0,5,5,2,384,4,4,2,0,0,0,0,0,0,4,2,8,4,129500,1,6240
60,3,85.0,11924,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,0,14,15,3,286.0,0,4,2,0,3,3,2,998,5,0,177,1,0,1,4,1182,1142,0,2324,1,3,0,4,1,0,11,5,2,2,3,0,736,4,4,2,147,21,0,0,0,0,4,7,6,5,345000,3,32536
20,3,68.42606284658041,12968,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,0,6,10,2,0.0,3,4,1,3,3,3,0,737,5,0,175,1,4,1,4,912,0,0,912,1,1,0,2,1,3,4,5,0,5,5,2,352,4,4,2,140,0,0,0,176,0,4,9,8,4,144000,4,4560
20,3,91.0,10652,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,0,12,13,3,306.0,2,4,2,2,3,0,5,0,5,0,1494,1,0,1,4,1494,0,0,1494,0,2,0,3,1,2,7,5,1,2,1,1,840,4,4,2,160,33,0,0,0,0,4,8,6,5,279500,2,13446
20,3,68.42606284658041,10920,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,0,8,8,1,212.0,3,4,1,3,3,3,1,733,5,0,520,1,4,1,4,1253,0,0,1253,1,1,1,2,1,3,5,5,1,1,1,1,352,4,4,2,0,213,176,0,0,0,1,5,8,4,157000,1,8771
45,4,51.0,6120,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,0,13,14,2,0.0,3,4,0,3,3,3,5,0,5,0,832,1,0,1,0,854,0,0,854,0,1,0,2,1,3,5,5,0,5,5,2,576,4,4,2,48,112,0,0,0,0,0,7,8,4,132000,4,5124
20,3,68.42606284658041,11241,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,0,13,14,1,180.0,3,4,1,3,3,3,0,578,5,0,426,1,0,1,4,1004,0,0,1004,1,1,0,2,1,3,5,5,1,4,1,0,480,4,4,2,0,0,0,0,0,0,4,3,8,4,149000,1,6024
90,3,72.0,10791,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,0,8,8,2,0.0,3,4,3,4,4,4,6,0,6,0,0,1,4,1,4,1296,0,0,1296,0,2,0,2,2,3,6,5,0,5,4,2,516,4,4,2,0,0,0,0,0,0,4,10,8,4,90000,1,10368
20,3,66.0,13695,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,0,12,13,2,0.0,3,4,2,3,3,3,2,646,5,0,468,1,0,1,4,1114,0,0,1114,1,1,1,3,1,2,6,5,0,5,5,2,576,4,4,2,0,102,0,0,0,0,4,6,8,4,159000,1,8912
20,3,70.0,7560,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,0,3,10,2,0.0,3,4,1,3,3,3,3,504,5,0,525,1,4,1,4,1339,0,0,1339,0,1,0,3,1,3,6,2,0,5,1,2,294,4,4,2,0,0,0,0,0,0,2,5,0,0,139000,2,9373
60,3,101.0,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,0,12,13,1,380.0,2,4,2,0,3,0,5,0,5,0,1158,1,0,1,4,1158,1218,0,2376,0,3,1,4,1,2,9,5,1,2,3,1,853,4,4,2,240,154,0,0,0,0,4,11,6,5,325300,3,30888
45,4,57.0,7449,1,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,0,13,14,2,0.0,3,4,2,3,3,3,5,0,5,0,637,1,0,1,1,1108,0,0,1108,0,1,0,3,1,2,6,5,1,2,1,2,280,4,4,0,0,0,205,0,0,0,0,6,8,4,139400,1,7756
120,4,44.0,4224,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,0,5,5,2,0.0,3,4,2,2,3,3,2,840,5,0,200,1,4,1,4,1060,0,0,1060,1,1,0,3,1,3,6,5,1,4,1,2,572,4,4,2,100,110,0,0,0,0,4,6,8,4,129900,1,7420
20,3,68.42606284658041,8246,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,0,9,10,2,0.0,3,2,1,3,3,2,4,188,0,668,204,1,0,1,4,1060,0,0,1060,1,1,0,3,1,2,6,5,1,4,1,2,270,4,4,2,406,90,0,0,0,0,2,5,8,4,154000,1,7420
20,3,110.0,14230,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,0,12,13,3,640.0,2,4,2,2,3,3,5,0,5,0,1566,1,0,1,4,1600,0,0,1600,0,2,0,3,1,2,7,5,1,2,1,1,890,4,4,2,0,56,0,0,0,0,4,7,8,4,256300,2,14400
20,3,60.0,7200,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,0,13,14,2,0.0,3,4,1,3,3,2,1,234,4,486,180,1,4,1,4,900,0,0,900,0,1,0,3,1,2,5,5,0,5,5,2,576,4,4,2,222,32,0,0,0,0,4,5,8,4,134800,4,5400
20,3,98.0,11478,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,0,12,13,3,200.0,2,4,2,0,3,3,2,1218,5,0,486,1,0,1,4,1704,0,0,1704,1,2,0,3,1,2,7,5,1,2,1,1,772,4,4,2,0,50,0,0,0,0,4,5,8,4,306000,0,15336
20,3,47.0,16321,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,0,8,8,2,0.0,3,4,1,3,3,1,1,1277,5,0,207,1,4,1,4,1600,0,0,1600,1,1,0,2,1,3,6,5,2,2,1,1,319,4,4,2,288,258,0,0,0,0,4,12,8,4,207500,2,11200
30,4,60.0,6324,1,0,3,0,4,0,3,1,5,0,2,4,6,1927,1950,1,0,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,520,1,1,0,4,520,0,0,520,0,1,0,1,1,1,4,5,0,5,5,2,240,1,4,2,49,0,87,0,0,0,4,5,8,4,68500,4,2600
70,0,50.0,8500,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,0,3,3,2,0.0,3,1,0,3,3,3,5,0,5,0,649,1,4,0,4,649,668,0,1317,0,1,0,3,1,3,6,5,0,5,5,2,250,4,1,0,0,54,172,0,0,0,2,7,8,4,40000,2,9219
20,3,68.42606284658041,8544,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,0,6,6,2,0.0,3,4,1,3,3,3,5,0,5,0,1228,1,2,1,4,1228,0,0,1228,0,1,1,3,1,2,6,5,0,5,1,2,271,4,4,2,0,65,0,0,0,0,2,6,8,4,149350,1,9824
20,3,85.0,11049,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,0,12,13,2,0.0,2,4,2,0,3,0,5,0,5,0,1234,1,0,1,4,1234,0,0,1234,0,2,0,3,1,2,7,5,0,5,1,1,484,4,4,2,0,30,0,0,0,0,4,1,8,4,179900,1,11106
20,3,70.0,10552,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,0,3,3,2,0.0,3,4,1,3,3,3,4,1018,5,0,380,1,2,1,4,1700,0,0,1700,0,1,1,4,1,2,6,5,1,2,1,1,447,4,4,2,0,38,0,0,0,0,4,4,8,4,165500,0,13600
120,3,60.0,7313,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,0,8,8,1,246.0,0,4,2,0,3,3,2,1153,5,0,408,1,0,1,4,1561,0,0,1561,1,2,0,2,1,0,6,5,1,2,1,0,556,4,4,2,203,47,0,0,0,0,4,8,8,4,277500,2,12488
60,3,108.0,13418,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,0,12,13,3,132.0,2,4,2,0,3,0,5,0,5,0,1117,1,0,1,4,1132,1320,0,2452,0,3,1,4,1,2,9,5,1,2,3,0,691,4,4,2,113,32,0,0,0,0,4,9,8,4,309000,3,31876
20,3,112.0,10859,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,0,12,13,2,0.0,3,4,2,2,3,3,5,0,5,0,1097,1,0,1,4,1097,0,0,1097,0,1,1,3,1,3,6,5,0,5,1,2,672,4,4,2,392,64,0,0,0,0,4,6,8,4,145000,1,8776
20,3,74.0,8532,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,0,13,14,1,650.0,3,4,1,3,3,3,4,1213,5,0,84,1,2,1,4,1297,0,0,1297,0,1,0,3,1,3,5,5,1,4,1,0,498,4,4,2,0,0,0,0,0,0,4,10,8,4,153000,1,7782
20,3,68.0,7922,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,0,12,13,2,0.0,3,2,1,3,3,3,2,731,5,0,326,1,4,1,4,1057,0,0,1057,1,1,0,3,1,2,5,5,0,5,5,2,246,4,4,2,0,52,0,0,0,0,4,1,8,0,109000,1,6342
90,3,65.0,6040,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,0,0,10,2,0.0,3,4,2,4,4,4,6,0,6,0,0,1,4,0,2,1152,0,0,1152,0,2,0,2,2,1,6,5,0,5,6,3,0,5,5,0,0,0,0,0,0,0,4,6,8,1,82000,1,9216
20,3,84.0,8658,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,0,13,14,1,101.0,3,4,1,3,3,3,4,643,5,0,445,1,0,1,4,1324,0,0,1324,0,2,0,3,1,3,6,5,1,4,1,1,440,4,4,2,0,138,0,0,0,0,1,12,8,0,160000,2,10592
20,3,115.0,16905,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,0,12,13,2,0.0,3,2,1,3,3,1,1,967,5,0,383,1,2,1,4,1328,0,0,1328,0,1,1,2,1,3,5,5,2,2,1,1,308,4,4,1,0,104,0,0,0,0,4,7,8,4,170000,2,9296
85,3,68.42606284658041,9180,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,0,6,6,2,0.0,3,4,1,2,3,0,0,747,3,93,0,1,2,1,4,884,0,0,884,1,1,0,2,1,2,5,5,0,5,1,1,504,4,2,2,240,0,0,0,0,0,2,12,8,4,144000,4,5304
20,3,68.42606284658041,9200,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,0,12,13,2,0.0,3,4,1,2,3,0,3,280,1,491,167,1,4,1,4,938,0,0,938,1,1,0,3,1,3,5,5,0,5,5,2,308,4,4,2,145,0,0,0,0,0,2,7,8,4,130250,4,5628
20,3,70.0,7945,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,0,3,14,2,0.0,3,4,1,3,3,3,0,179,1,506,465,1,0,1,0,1150,0,0,1150,1,1,0,3,1,3,6,5,0,5,1,1,300,4,4,2,0,0,0,0,0,0,4,5,8,4,141000,1,8050
120,3,61.0,7658,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,0,8,8,1,412.0,0,4,2,0,3,3,2,456,5,0,1296,1,0,1,4,1752,0,0,1752,1,2,0,2,1,0,6,5,1,2,1,1,576,4,4,2,196,82,0,0,0,0,4,2,8,4,319900,0,14016
50,3,48.0,12822,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,0,12,13,2,0.0,2,4,2,0,3,3,2,1351,5,0,83,1,0,1,4,1518,631,0,2149,1,1,1,1,1,2,6,5,1,0,1,1,670,4,4,2,168,43,0,0,198,0,4,8,8,0,239686,3,17192
20,1,84.0,11096,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,0,12,13,2,0.0,2,4,2,2,3,0,2,24,5,0,1632,1,0,1,4,1656,0,0,1656,0,2,0,3,1,2,7,5,0,5,1,1,826,4,4,2,0,146,0,0,0,0,4,7,8,4,249700,0,14904
190,4,33.0,4456,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,0,8,8,2,0.0,3,4,0,3,3,3,5,0,5,0,736,1,2,1,4,736,716,0,1452,0,2,0,2,3,3,8,5,0,5,6,3,0,5,5,0,0,0,102,0,0,0,4,6,6,5,113000,2,14520
20,3,66.0,7742,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,0,6,6,2,0.0,3,4,1,3,3,3,1,763,5,0,192,1,0,1,4,955,0,0,955,1,1,0,3,1,3,6,5,0,5,1,2,386,4,4,2,0,0,0,0,0,0,2,1,8,4,127000,4,6685
60,3,68.42606284658041,13869,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,0,12,13,2,0.0,3,4,2,2,3,0,2,182,5,0,612,1,2,1,4,794,676,0,1470,0,2,0,3,1,3,6,5,0,5,1,0,388,4,4,2,0,75,0,0,0,0,4,7,8,4,177000,2,11760
50,4,52.0,6240,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,0,13,14,2,0.0,3,4,2,3,3,3,5,0,5,0,816,1,4,1,4,816,0,360,1176,0,1,0,3,1,3,6,5,1,2,5,2,528,4,4,2,112,0,0,0,0,0,2,9,8,4,114500,1,8232
90,4,110.0,8472,0,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,0,13,14,2,0.0,1,4,1,2,3,1,3,104,2,712,0,1,4,0,4,816,0,0,816,1,1,0,2,1,3,5,5,0,5,4,2,516,4,4,2,106,0,0,0,0,0,4,5,8,4,110000,4,4896
80,3,60.0,7134,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,0,8,8,2,0.0,3,4,1,3,3,3,0,384,5,0,0,1,4,1,4,1360,0,0,1360,0,1,0,3,1,3,6,2,1,4,5,2,572,4,4,2,0,50,0,0,0,0,2,2,8,4,130000,2,9520
20,3,100.0,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,0,6,10,1,272.0,3,4,1,3,3,3,1,490,5,0,935,1,2,1,4,1425,0,0,1425,0,2,0,3,1,3,7,5,1,2,1,1,576,4,4,2,0,0,0,407,0,0,4,7,8,4,180500,2,12825
160,1,24.0,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,0,8,8,1,456.0,2,4,2,2,3,3,2,649,5,0,321,1,0,1,4,983,756,0,1739,1,2,1,3,1,2,7,5,0,5,1,0,480,4,4,2,115,0,0,0,0,0,4,8,8,0,172500,0,17390
